cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
canton_s_dd,ALL,all,FLY-canton_s_dd-B2-AL-R8-156-1,AL,AL,16,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R4-246-1,AL,AL,16,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R4-246-2,AL,AL,16,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R5-246-1,AL,AL,16,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R5-246-2,AL,AL,16,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B1-AL-R2-60-1,AL,AL,18,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B2-AL-R6-157-1,AL,AL,18,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R2-247-1,AL,AL,18,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R3-247-1,AL,AL,18,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R4-247-1,AL,AL,18,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
