cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
2019-08,ALL,f,KF-2019-08-454,AL,AL,48,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-499,AL,AL,54,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-472,AL,AL,59,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-441,AL,AL,64,false,censored,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-446,AL,AL,64,false,censored,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-453,AL,AL,68,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-533,AL,AL,68,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-462,AL,AL,70,false,censored,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-464,AL,AL,70,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-486,AL,AL,74,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-451,AL,AL,79,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-488,AL,AL,82,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-461,AL,AL,83,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-445,AL,AL,85,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-455,AL,AL,91,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-494,AL,AL,91,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-522,AL,AL,96,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-476,AL,AL,97,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-503,AL,AL,98,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-519,AL,AL,99,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-513,AL,AL,122,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-514,AL,AL,127,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-448,AL,AL,130,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-527,AL,AL,138,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-08,ALL,f,KF-2019-08-457,DR,AL,57,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-475,DR,AL,59,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-516,DR,AL,60,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-525,DR,AL,61,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-491,DR,AL,65,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-470,DR,AL,69,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-474,DR,AL,69,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-473,DR,AL,74,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-518,DR,AL,74,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-481,DR,AL,76,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-471,DR,AL,79,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-452,DR,AL,80,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-524,DR,AL,90,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-08,ALL,f,KF-2019-08-468,DR,AL,91,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
