field_id	ref_id
699	100468
709	100469
728	100255
738	100256
757	100257
767	100258
777	100259
796	100260
806	100261
816	100262
826	100263
845	100264
864	100265
874	100472
884	100266
894	100267
904	100268
914	100473
924	100269
943	100270
971	100476
981	100477
991	100273
1001	100478
1011	100479
1021	100480
1031	100274
1050	100275
1060	100276
1070	100277
1080	100483
1090	100278
1100	100279
1110	100280
1120	100281
1130	100282
1140	100283
1150	100284
1160	100484
1170	100285
1180	100286
1190	100287
1200	100288
1210	100289
1220	100290
1239	100291
1249	100485
1259	100494
1269	100495
1279	100496
1289	100300
1299	100301
1309	100302
1319	100303
1329	100304
1339	100305
1349	100306
1359	100307
1369	100308
1379	100309
1389	100310
1408	100311
1418	100312
1428	100498
1438	100313
1448	100314
1458	100315
1468	100316
1478	100317
1488	100318
1498	100319
1508	100320
1518	100321
1528	100322
1538	100323
1548	100324
1558	100325
1568	100326
1578	100327
1588	100328
1598	100329
1608	100330
1618	100332
1628	100333
1647	100335
1677	100337
1687	100338
1697	100339
1707	100340
1717	100341
1727	100342
1737	100343
1747	100344
1757	100345
1767	100346
1777	100347
1787	100348
1797	100349
1807	100618
1835	100610
1845	100504
1873	100351
1883	100600
1920	100354
1930	100355
1940	100356
1950	100357
1960	100358
1970	100359
1980	100360
1990	100361
2000	100362
2010	100363
2020	100364
2030	100365
2040	100366
2050	100373
2060	100374
2070	100375
2080	100376
2090	100377
2100	100378
2110	100383
2129	100384
2139	100385
2149	100386
2159	100387
2178	100389
2188	100390
2207	100392
2217	100393
2227	100395
2237	100444
2247	100436
2257	100437
2267	100398
2277	100399
2296	100400
2306	100401
2316	100402
2335	100415
2345	100417
2355	100418
2365	100419
2375	100421
2385	100422
2395	100423
2405	100424
2415	100425
2443	100428
2453	100431
2463	100432
2473	100434
2492	100435
2624	100481
2634	100482
2644	100609
2654	100628
2664	100334
2674	100535
2684	100536
2694	100537
2704	100538
2714	100539
2724	100540
2734	100542
2744	100543
2754	100544
2764	100545
2774	100546
2784	100550
2794	100551
2804	100552
2814	100553
2824	100557
2834	100558
2844	100560
2867	100486
2877	100487
2887	100488
2897	100489
2907	100490
2926	100492
2936	100493
2946	100350
2956	100596
2966	100564
2976	100429
2986	100430
3005	100433
3066	3
3088	100206
3089	100207
3160	100198
3393	100438
3404	100414
3414	100532
3426	100583
3436	100292
3446	100293
3456	100294
3466	100295
3476	100296
3486	100297
3496	100298
3506	100299
3526	100617
3536	100554
3546	100555
3571	100530
3581	100541
3591	100556
3606	100416
3616	100534
3627	100426
3637	100271
3647	100272
3659	100499
3669	100388
3680	100602
3700	100599
3710	100598
3720	100579
3731	100580
3741	100531
3751	100526
3761	100569
3773	100533
3786	100568
3799	100528
3809	100420
3829	100547
3839	100548
3849	100549
3859	100627
3872	100601
3882	100559
3894	100562
3912	100501
3942	100503
3972	100505
3982	100506
3992	100567
4012	100566
4022	100427
4041	100570
4056	100563
4067	100529
4079	2260
4079	8601
4079	100166
4079	100170
4079	100171
4080	2260
4080	8601
4081	100164
4095	100190
4143	100192
4205	4
4407	100605
4418	100606
4429	100608
4440	100607
4451	100603
4462	100604
4501	100353
4526	100367
4537	100368
4548	100369
4559	100370
4570	100371
4581	100372
4598	100379
4609	100507
4620	100508
4631	100380
4642	100381
4653	100382
4674	100391
4689	100520
4700	100522
4717	100403
4728	100404
4792	100439
4803	100440
4814	100441
4825	100442
4836	100443
4849	100576
4924	100446
4935	100447
4946	100448
4957	100449
4968	100450
4979	100451
4990	100452
5001	100453
5012	100454
5057	100352
5185	100186
5189	100187
5194	100188
5258	1
5259	2
5266	1
5267	2
5364	100331
5375	100509
5386	100510
5408	100620
5419	100396
5430	100397
5441	100521
5452	100405
5463	100406
5474	100407
5485	100408
5496	100409
5507	100410
5518	100411
5529	100412
5540	100413
5556	100455
5610	100394
5663	100511
5674	100512
5699	100456
5779	100457
5790	100458
5832	100622
5843	100516
5855	100621
5866	100459
5877	100624
5890	100517
5901	100518
5912	100523
5923	100524
5934	100623
5945	100619
5959	100581
6019	100156
6025	11
6070	100189
6119	100519
6138	100471
6139	100466
6140	100467
6141	100597
6142	100470
6143	100616
6144	100497
6145	100513
6146	100514
6147	100515
6148	100584
6149	100525
6150	100561
6151	100571
6152	100565
6153	100572
6154	100573
6155	100574
6156	100611
6157	100491
6158	100626
6159	100527
6160	100625
6162	100474
6164	100475
6177	100582
6179	100575
6314	1702
6314	6314
6315	1702
6315	6314
6448	6448
6459	6459
6470	6470
6481	6481
6492	6492
6503	6503
6514	6514
6525	6525
6536	6536
6547	6547
7669	3011
7670	3011
10139	1004
10139	10115
10140	1004
10140	10115
10697	3
12139	2000
12140	2000
12141	2000
12143	2003
12144	2003
12148	2000
12187	2011
12188	2019
12223	2012
12224	2020
12253	2013
12254	2022
12291	2014
12292	2021
12323	2015
12688	7483
20022	100161
20022	100162
20041	100199
20084	10013
20085	10014
20086	10107
20087	10019
20087	10021
20087	10031
20087	10034
20087	10047
20087	10072
20087	10104
20088	10114
20089	10000
20090	10001
20090	10002
20090	10008
20090	10039
20090	10057
20090	10081
20090	10094
20091	10050
20092	10108
20093	10006
20094	10101
20095	10033
20096	10030
20097	10023
20098	10068
20099	10061
20100	10045
20101	10103
20102	10015
20103	10064
20104	10063
20105	10097
20106	10009
20107	100588
20107	100589
20108	10111
20109	10007
20110	100590
20110	100591
20111	100593
20111	100595
20112	100502
20112	100585
20113	100586
20113	100587
20114	100592
20114	100594
20118	123480
20121	129146
20122	158772
20123	158772
20124	158772
20125	158772
20126	158772
20127	158772
20133	501
20140	158562
20140	158563
20140	158564
20142	1420
20142	1540
20142	1541
20142	1542
20142	1543
20142	1544
20142	1545
20142	1546
20142	1547
20142	1548
20142	1549
20142	1550
20142	1551
20149	501
20155	501
20156	501
20157	501
20158	20158
